EmployeeNumber,Age,Department,JobRole,Salary,YearsAtCompany,JobSatisfaction,WorkLifeBalance,PerformanceRating,Education,EducationField,Gender,MaritalStatus,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HireDate,TerminationDate,Attrition
421,51,IT,IT Manager,84454,11,5,5,4,1,Technical Degree,Female,Divorced,7,19,3,11,6,11,2014-03-12,,No
422,49,Operations,Operations Manager,78727,11,1,3,3,2,Technical Degree,Male,Divorced,4,17,3,11,8,8,2014-03-13,2020-04-15,Yes
423,33,Engineering,Technical Director,139979,11,2,3,1,2,Technical Degree,Male,Single,8,14,4,11,9,1,2014-03-21,2021-03-15,Yes
424,42,IT,Engineer,86330,11,2,5,2,3,Technical Degree,Female,Divorced,9,17,2,11,11,2,2014-03-22,2015-10-03,Yes
425,40,IT,Developer,107153,11,5,5,3,4,Other,Female,Divorced,4,15,4,11,11,7,2014-03-30,,No
426,45,IT,IT Manager,107219,11,1,1,4,5,Technical Degree,Male,Married,4,12,5,11,11,11,2014-04-04,,No
427,27,HR,HR Specialist,64245,11,4,3,1,4,Other,Male,Married,1,16,1,10,10,8,2014-04-05,2023-06-14,Yes
428,40,IT,Developer,69821,11,3,4,5,2,Technical Degree,Female,Married,10,17,5,6,3,11,2014-04-18,,No
429,43,Operations,Operations Manager,94281,11,1,3,2,5,Other,Male,Single,2,18,0,9,3,11,2014-05-03,,No
430,20,IT,Engineer,89647,11,2,3,4,4,Technical Degree,Male,Married,9,16,1,2,2,3,2014-05-08,2017-06-15,Yes
431,25,Marketing,Marketing Manager,87263,11,5,5,3,4,Marketing,Male,Divorced,8,18,4,4,0,11,2014-05-10,,No
432,18,Engineering,Engineering Manager,107603,11,5,3,1,5,Technical Degree,Male,Married,6,17,6,9,9,11,2014-05-12,,No
433,32,Research,Research Scientist,86891,11,3,3,2,2,Life Sciences,Male,Married,0,12,6,11,11,11,2014-05-16,2020-08-19,Yes
434,40,Operations,Operations Manager,82509,11,5,4,1,4,Life Sciences,Male,Single,2,16,4,11,1,11,2014-05-19,,No
435,47,HR,HR Director,96565,11,5,5,5,5,Life Sciences,Male,Single,1,19,5,11,11,8,2014-05-23,,No
436,35,Operations,Operations Specialist,59117,11,1,3,3,2,Other,Male,Married,0,16,4,8,0,1,2014-05-24,2020-04-19,Yes
437,48,Marketing,Brand Manager,109322,11,4,2,1,5,Other,Female,Single,8,14,4,11,6,9,2014-05-25,,No
438,23,Finance,Financial Analyst,86781,11,3,1,4,5,Marketing,Female,Married,7,17,3,11,5,11,2014-05-27,,No
439,21,IT,IT Manager,129613,11,1,4,3,4,Technical Degree,Female,Married,4,13,0,11,11,2,2014-05-28,2023-05-21,Yes
440,34,Research,Research Scientist,89547,11,4,3,4,2,Other,Female,Married,10,15,6,11,0,11,2014-05-29,,No
441,38,Finance,Accountant,87544,11,1,2,1,4,Life Sciences,Male,Married,1,11,3,10,10,11,2014-06-02,2017-04-06,Yes
442,34,IT,IT Manager,149506,11,1,3,3,1,Technical Degree,Male,Married,0,20,4,8,4,11,2014-06-02,2021-03-17,Yes
443,18,HR,Recruiter,78293,11,5,3,4,1,Human Resources,Female,Married,6,13,2,1,1,2,2014-06-03,2019-10-22,Yes
444,34,Finance,Controller,100875,11,4,5,5,2,Life Sciences,Male,Single,10,18,3,10,10,4,2014-06-08,,No
445,24,Research,Research Director,88071,11,3,5,5,5,Life Sciences,Male,Single,10,19,4,11,3,11,2014-06-10,2016-08-24,Yes
446,40,Sales,Sales Manager,100560,10,3,5,1,4,Marketing,Female,Single,1,18,6,3,3,10,2014-06-11,2018-07-23,Yes
447,37,Sales,Account Executive,73799,10,4,2,3,4,Marketing,Male,Divorced,0,19,4,10,0,3,2014-06-18,2018-10-20,Yes
448,27,IT,Technical Specialist,79428,10,5,3,2,2,Other,Male,Single,1,11,0,10,0,4,2014-06-20,2021-10-27,Yes
449,30,Finance,Controller,119142,10,2,1,3,2,Other,Female,Married,6,13,5,3,3,6,2014-06-23,,No
450,26,Finance,Accountant,61412,10,1,4,5,1,Other,Female,Divorced,6,14,1,8,5,7,2014-06-24,,No
451,34,IT,IT Manager,83890,10,5,5,4,3,Technical Degree,Male,Married,9,12,3,10,4,5,2014-06-26,,No
452,42,HR,HR Director,155687,10,4,5,2,2,Life Sciences,Female,Single,5,10,3,6,1,2,2014-06-28,,No
453,27,Sales,Sales Director,104288,10,1,3,1,3,Other,Female,Divorced,4,15,3,10,8,3,2014-07-01,2016-09-27,Yes
454,39,IT,Developer,97367,10,3,3,2,2,Technical Degree,Female,Single,2,19,4,10,4,10,2014-07-01,,No
455,30,Marketing,Marketing Specialist,52977,10,2,2,1,5,Marketing,Male,Married,2,11,0,7,7,10,2014-07-03,2020-04-26,Yes
456,28,IT,Engineer,124414,10,3,2,2,5,Technical Degree,Male,Divorced,10,18,4,10,10,3,2014-07-05,,No
457,34,IT,System Administrator,98473,10,4,5,1,1,Technical Degree,Female,Married,8,10,4,10,4,10,2014-07-06,2022-11-23,Yes
458,26,IT,Developer,64270,10,1,3,1,1,Technical Degree,Female,Married,3,18,5,10,9,5,2014-07-10,2024-01-11,Yes
459,30,Engineering,Engineer,120916,10,4,1,2,3,Technical Degree,Female,Single,8,16,2,10,8,10,2014-07-13,2022-12-08,Yes
460,25,Research,Research Scientist,124145,10,1,4,2,2,Life Sciences,Male,Married,3,19,0,10,2,10,2014-07-15,2016-09-07,Yes
461,50,Engineering,Engineering Manager,106714,10,5,3,1,4,Technical Degree,Male,Married,1,11,3,10,4,10,2014-07-15,,No
462,35,Finance,Finance Manager,139037,10,2,3,5,1,Marketing,Female,Married,3,15,1,10,10,5,2014-07-19,,No
463,29,IT,Engineer,127813,10,5,2,2,4,Technical Degree,Male,Divorced,5,17,3,10,10,4,2014-07-22,,No
464,36,Marketing,Marketing Manager,116117,10,5,4,3,4,Marketing,Male,Divorced,5,11,4,10,10,8,2014-07-28,,No
465,34,Finance,Finance Manager,90402,10,4,5,4,2,Other,Male,Divorced,4,14,0,9,4,6,2014-07-29,,No
466,33,Research,Research Scientist,92595,10,2,3,1,3,Life Sciences,Male,Married,0,15,6,5,1,6,2014-07-30,2020-08-31,Yes
467,39,IT,Technical Specialist,94911,10,1,5,1,2,Life Sciences,Female,Married,2,12,0,4,2,1,2014-08-04,,No
468,41,Finance,Finance Manager,99220,10,1,3,4,1,Other,Female,Divorced,4,11,0,10,3,6,2014-08-04,2018-02-02,Yes
469,30,IT,System Administrator,65662,10,3,5,5,4,Technical Degree,Male,Divorced,5,15,2,10,10,3,2014-08-05,,No
470,30,HR,HR Director,118582,10,1,4,4,2,Other,Male,Married,0,12,3,9,9,10,2014-08-09,,No
471,32,Sales,Sales Manager,107213,10,4,2,2,2,Other,Female,Single,8,11,2,3,1,6,2014-08-13,2023-09-09,Yes
472,18,Finance,Accountant,58545,10,5,4,4,2,Life Sciences,Male,Single,2,10,6,3,3,10,2014-08-14,,No
473,22,HR,HR Specialist,87830,10,5,1,1,1,Human Resources,Male,Married,9,17,6,10,9,10,2014-08-29,2020-01-11,Yes
474,45,HR,HR Director,155365,10,5,2,4,3,Other,Female,Married,2,10,5,10,10,10,2014-09-03,2016-08-14,Yes
475,48,Finance,Finance Manager,87210,10,2,4,3,2,Other,Male,Divorced,10,14,1,10,10,10,2014-09-08,2018-06-27,Yes
476,33,Sales,Sales Representative,60945,10,1,1,2,1,Life Sciences,Female,Single,1,15,5,2,1,6,2014-09-15,,No
477,39,Research,Research Scientist,74917,10,4,3,4,4,Life Sciences,Male,Single,7,12,4,10,9,2,2014-09-20,,No
478,37,Engineering,Engineer,68052,10,2,3,1,5,Technical Degree,Male,Married,2,16,2,3,0,1,2014-09-20,2021-03-10,Yes
479,59,Sales,Sales Representative,62316,10,3,5,2,1,Life Sciences,Male,Married,5,11,2,2,1,10,2014-09-20,2018-07-02,Yes
480,43,HR,HR Manager,101559,10,4,2,1,5,Other,Female,Single,1,16,5,9,5,10,2014-09-22,2019-12-28,Yes
481,33,Operations,Operations Specialist,71762,10,4,3,5,2,Technical Degree,Male,Married,6,11,4,10,7,3,2014-09-26,,No
482,27,Finance,Finance Manager,124895,10,4,2,3,2,Marketing,Male,Married,3,14,0,2,0,5,2014-10-09,,No
483,22,HR,Recruiter,66793,10,5,3,5,1,Human Resources,Female,Married,8,16,4,10,10,10,2014-10-16,2021-10-27,Yes
484,36,Research,Research Analyst,61318,10,4,5,3,5,Medical,Male,Married,9,12,3,2,0,10,2014-10-20,,No
485,28,IT,Developer,100274,10,1,4,4,2,Technical Degree,Male,Married,8,13,5,10,7,4,2014-10-22,,No
486,23,Engineering,Senior Engineer,123634,10,4,5,2,4,Other,Male,Married,6,10,4,3,3,7,2014-10-23,,No
487,29,Finance,Accountant,52203,10,5,1,4,3,Marketing,Female,Divorced,7,12,0,5,4,4,2014-10-24,2020-08-02,Yes
488,26,Operations,Operations Manager,75386,10,4,3,3,3,Other,Male,Single,2,18,4,10,5,8,2014-10-26,,No
489,48,Operations,Supply Chain Manager,112998,10,3,1,3,2,Technical Degree,Male,Divorced,10,19,2,7,0,7,2014-10-31,2019-05-31,Yes
490,42,Research,Research Analyst,73288,10,3,1,3,5,Medical,Male,Married,4,14,1,6,6,10,2014-11-01,,No
491,34,Operations,Operations Specialist,61143,10,5,2,1,2,Other,Male,Divorced,1,17,2,10,1,9,2014-11-08,,No
492,46,Operations,Operations Specialist,72540,10,1,3,2,5,Technical Degree,Female,Divorced,9,11,6,1,1,1,2014-11-11,,No
493,35,IT,Engineer,87578,10,1,1,4,4,Technical Degree,Female,Married,6,12,1,10,10,10,2014-11-18,2016-12-03,Yes
494,28,Marketing,Marketing Director,137879,10,2,4,4,5,Marketing,Female,Married,7,16,6,10,10,5,2014-11-19,2024-04-26,Yes
495,47,IT,System Administrator,102950,10,5,1,5,2,Technical Degree,Female,Single,8,19,4,10,8,10,2014-11-22,2021-08-27,Yes
496,39,Sales,Sales Manager,100989,10,4,4,3,4,Marketing,Female,Divorced,10,13,3,10,10,4,2014-12-06,,No
497,26,Marketing,Brand Manager,106405,10,5,2,3,1,Marketing,Male,Married,10,18,4,8,2,6,2014-12-07,2017-06-05,Yes
498,33,Operations,Supply Chain Manager,116901,10,2,1,3,3,Other,Female,Married,6,16,0,8,1,1,2015-01-07,2024-11-12,Yes
499,27,IT,IT Manager,82775,10,5,5,4,2,Life Sciences,Male,Married,9,10,4,10,9,6,2015-01-14,,No
500,23,IT,Technical Specialist,85055,10,5,2,5,2,Technical Degree,Male,Divorced,9,13,1,7,4,1,2015-01-15,2024-10-26,Yes
501,42,Sales,Account Executive,77838,10,2,4,1,2,Other,Female,Single,7,19,2,6,6,10,2015-01-15,,No
502,50,IT,Developer,112798,10,1,2,2,4,Life Sciences,Male,Married,8,15,3,4,4,10,2015-01-16,,No
503,23,IT,Developer,61600,10,4,1,1,1,Technical Degree,Female,Married,5,15,6,1,1,1,2015-01-21,2020-06-20,Yes
504,39,IT,Developer,105291,10,2,3,4,5,Other,Male,Married,9,19,4,10,10,8,2015-01-23,,No
505,29,Engineering,Engineer,82177,10,3,3,3,1,Other,Female,Married,1,15,4,10,7,2,2015-01-26,2021-11-17,Yes
506,31,Sales,Account Executive,93533,10,1,4,2,4,Other,Male,Married,1,14,2,1,1,10,2015-01-29,2023-10-16,Yes
507,30,HR,HR Director,114660,10,3,4,4,2,Human Resources,Female,Married,3,12,3,10,6,10,2015-01-31,,No
508,28,HR,HR Specialist,66258,10,1,3,4,3,Human Resources,Female,Divorced,8,11,5,3,3,10,2015-02-02,,No
509,35,HR,Recruiter,74684,10,4,4,4,2,Other,Male,Single,6,12,6,5,1,6,2015-02-12,,No
510,28,Sales,Sales Manager,92195,10,4,2,2,5,Other,Male,Married,1,18,4,5,5,10,2015-02-12,2024-10-09,Yes
511,37,Operations,Supply Chain Manager,101633,10,5,5,2,3,Technical Degree,Male,Single,7,12,4,4,4,6,2015-02-20,,No
512,34,IT,IT Manager,87188,10,3,5,5,2,Technical Degree,Male,Single,10,12,5,10,9,6,2015-02-21,2021-10-11,Yes
513,33,IT,System Administrator,90985,10,1,2,5,3,Technical Degree,Female,Single,6,10,6,10,9,8,2015-02-24,,No
514,27,IT,Technical Specialist,75285,10,4,5,1,1,Other,Female,Married,8,11,1,10,4,4,2015-02-25,,No
515,30,Operations,Operations Manager,87995,10,2,1,2,4,Technical Degree,Male,Married,7,12,1,8,8,3,2015-02-26,2022-03-22,Yes
516,41,Sales,Sales Manager,69866,10,4,2,2,2,Other,Female,Single,2,11,0,2,2,6,2015-03-01,,No
517,39,HR,HR Manager,121222,10,2,4,2,5,Human Resources,Female,Single,0,17,2,8,6,4,2015-03-19,,No
518,27,IT,System Administrator,105668,10,1,2,5,1,Technical Degree,Male,Divorced,1,15,3,1,1,2,2015-03-20,2021-08-06,Yes
519,35,IT,IT Manager,102333,10,4,3,4,2,Technical Degree,Female,Single,1,16,4,4,3,6,2015-03-30,,No
520,41,Engineering,Engineering Manager,89675,10,4,4,3,1,Technical Degree,Female,Divorced,3,10,6,10,6,10,2015-04-04,,No
521,21,HR,HR Specialist,67184,10,1,3,5,5,Human Resources,Male,Single,5,15,4,5,2,5,2015-04-04,2024-10-22,Yes
522,39,Sales,Sales Director,85267,10,4,4,2,2,Marketing,Male,Married,3,11,0,5,5,10,2015-04-07,2021-09-08,Yes
523,29,Operations,Supply Chain Manager,106025,10,2,5,5,5,Other,Male,Married,8,15,6,10,10,9,2015-04-09,,No
524,39,HR,HR Specialist,68472,10,4,2,1,3,Other,Female,Divorced,3,12,6,10,10,10,2015-04-10,2023-05-27,Yes
525,28,IT,Developer,87326,10,3,1,2,5,Technical Degree,Female,Married,5,16,4,10,1,6,2015-04-16,2022-12-30,Yes
526,20,IT,Engineer,92097,10,5,4,1,3,Other,Female,Married,5,12,2,10,6,10,2015-04-17,2022-10-13,Yes
527,21,Operations,Operations Specialist,75185,10,2,4,2,2,Technical Degree,Male,Single,9,18,0,1,1,3,2015-04-19,,No
528,35,Sales,Sales Representative,80629,10,3,3,5,3,Life Sciences,Male,Married,10,12,2,7,6,10,2015-04-22,2023-03-22,Yes
529,37,Operations,Operations Specialist,75835,10,1,5,4,2,Technical Degree,Male,Married,9,16,0,10,10,5,2015-04-22,2023-06-02,Yes
530,27,Marketing,Marketing Director,138790,10,2,3,3,2,Marketing,Male,Single,0,13,4,2,2,10,2015-04-30,2021-08-07,Yes
531,40,IT,Developer,75233,10,5,3,1,4,Technical Degree,Female,Single,7,17,0,10,7,10,2015-05-01,,No
532,21,Engineering,Engineer,75532,10,5,5,5,2,Technical Degree,Female,Divorced,2,11,1,7,3,8,2015-05-02,2017-03-11,Yes
533,34,Sales,Sales Representative,75580,10,1,1,4,3,Other,Female,Single,5,17,6,10,0,9,2015-05-02,2022-08-04,Yes
534,25,HR,HR Director,91766,10,1,3,5,4,Human Resources,Female,Married,2,18,3,3,2,8,2015-05-04,,No
535,29,Engineering,Technical Director,138328,10,2,3,1,4,Life Sciences,Male,Married,10,17,4,6,2,10,2015-05-07,,No
536,35,Operations,Supply Chain Manager,95301,10,4,4,3,2,Life Sciences,Male,Divorced,1,15,5,10,4,3,2015-05-09,2019-10-03,Yes
537,28,Marketing,Marketing Director,140139,10,1,5,5,5,Marketing,Male,Divorced,4,19,3,10,10,9,2015-05-15,,No
538,31,Sales,Sales Director,102444,10,4,2,2,5,Marketing,Female,Divorced,0,10,4,10,2,3,2015-05-16,,No
539,43,Research,Research Scientist,84205,10,3,1,4,4,Life Sciences,Female,Single,8,16,3,10,10,8,2015-05-18,2019-05-11,Yes
540,30,Operations,Operations Specialist,88862,10,5,1,5,2,Other,Male,Divorced,10,10,1,5,5,10,2015-05-18,2022-09-05,Yes
541,41,IT,System Administrator,73300,10,4,5,4,5,Other,Male,Single,6,16,3,10,4,9,2015-05-19,,No
542,25,HR,HR Specialist,89181,10,5,4,2,2,Other,Male,Married,2,11,0,10,10,7,2015-05-19,2023-03-17,Yes
543,39,Engineering,Engineer,78230,10,4,4,3,2,Life Sciences,Male,Married,3,17,3,4,0,4,2015-05-20,2020-03-24,Yes
544,46,IT,System Administrator,106080,10,3,5,3,4,Technical Degree,Male,Single,5,11,4,1,1,10,2015-05-27,,No
545,18,HR,Recruiter,63227,10,1,4,2,4,Human Resources,Male,Divorced,2,12,5,10,1,10,2015-06-01,2025-02-15,Yes
546,28,Finance,Controller,127475,10,3,1,4,1,Life Sciences,Male,Single,6,12,5,10,10,9,2015-06-05,2020-11-14,Yes
547,39,Finance,Financial Analyst,60538,10,1,1,5,5,Marketing,Female,Married,5,10,2,10,10,3,2015-06-10,,No
548,33,Operations,Supply Chain Manager,118217,10,1,2,2,5,Life Sciences,Male,Married,8,14,6,10,3,10,2015-06-10,2019-07-25,Yes
549,37,Engineering,Technical Director,105059,9,5,5,1,5,Other,Male,Married,4,13,3,9,8,3,2015-06-18,2023-12-19,Yes
550,30,IT,Engineer,107768,9,3,3,4,3,Other,Male,Single,3,18,5,2,1,2,2015-06-23,,No
551,35,IT,IT Manager,134583,9,4,3,3,2,Technical Degree,Male,Married,2,13,3,6,6,9,2015-06-29,2024-04-11,Yes
552,33,IT,Technical Specialist,73087,9,3,2,2,4,Technical Degree,Male,Divorced,9,17,6,9,6,3,2015-07-02,2019-02-28,Yes
553,44,Research,Research Scientist,94680,9,5,2,3,5,Other,Male,Married,0,14,5,9,9,1,2015-07-06,,No
554,37,Operations,Supply Chain Manager,81432,9,1,4,4,1,Other,Male,Married,2,14,6,6,6,4,2015-07-13,,No
555,37,HR,Recruiter,48392,9,5,2,3,5,Human Resources,Male,Single,2,11,3,5,0,8,2015-07-23,2021-01-01,Yes
556,31,Research,Research Scientist,106551,9,2,2,2,2,Life Sciences,Female,Married,6,13,4,7,4,5,2015-07-27,2021-05-17,Yes
557,31,Research,Research Analyst,77357,9,2,3,4,2,Life Sciences,Male,Divorced,6,18,3,1,0,2,2015-08-21,,No
558,31,Research,Research Scientist,124091,9,4,4,1,4,Medical,Female,Married,0,15,6,9,9,3,2015-08-23,2017-04-19,Yes
559,38,Engineering,Senior Engineer,122940,9,5,2,2,3,Technical Degree,Male,Married,2,11,4,1,1,1,2015-08-23,2023-10-17,Yes
560,31,HR,Recruiter,48657,9,4,2,5,4,Other,Male,Married,7,10,4,9,1,2,2015-08-24,,No
561,37,Sales,Account Executive,74195,9,4,4,2,5,Marketing,Male,Married,8,13,2,9,5,1,2015-08-26,2022-05-04,Yes
562,51,Finance,Controller,87867,9,2,5,4,1,Marketing,Male,Single,6,11,5,7,1,2,2015-08-26,2022-12-25,Yes
563,41,Research,Research Analyst,77551,9,4,4,2,4,Life Sciences,Female,Single,6,13,0,3,2,3,2015-08-31,,No
564,32,Sales,Sales Manager,102869,9,2,3,1,3,Life Sciences,Female,Married,10,17,4,1,1,1,2015-09-04,,No
565,44,Sales,Sales Manager,83448,9,1,5,1,4,Other,Female,Married,7,18,6,8,7,9,2015-09-14,,No
566,31,Operations,Operations Specialist,74175,9,5,1,5,2,Life Sciences,Female,Married,5,9,5,9,2,9,2015-09-23,,No
567,18,IT,Developer,61711,9,4,4,3,5,Technical Degree,Female,Married,10,12,1,9,1,9,2015-09-24,,No
568,26,Marketing,Marketing Manager,119160,9,2,3,4,5,Marketing,Male,Married,2,18,3,9,5,5,2015-09-25,2020-06-18,Yes
569,20,Engineering,Engineering Manager,135535,9,3,5,4,5,Technical Degree,Male,Single,0,13,6,5,5,8,2015-09-26,2021-07-10,Yes
570,32,Engineering,Technical Director,106220,9,4,4,3,5,Technical Degree,Female,Divorced,6,10,1,6,2,5,2015-09-30,2023-05-18,Yes
571,35,IT,System Administrator,57822,9,1,2,1,5,Technical Degree,Female,Married,0,10,6,6,0,8,2015-10-07,2025-04-26,Yes
572,48,IT,IT Manager,129451,9,1,4,1,5,Technical Degree,Male,Single,0,9,3,8,8,7,2015-10-10,2020-03-17,Yes
573,37,IT,Developer,89672,9,3,1,2,1,Other,Female,Single,8,16,2,9,9,9,2015-10-11,2021-04-24,Yes
574,33,Sales,Account Executive,95935,9,2,4,5,3,Other,Male,Divorced,9,10,6,9,9,4,2015-10-14,,No
575,41,Research,Research Scientist,106719,9,4,5,5,5,Life Sciences,Male,Single,6,11,4,4,2,7,2015-10-17,,No
576,18,IT,Developer,110604,9,2,5,5,3,Life Sciences,Male,Divorced,10,10,0,9,5,6,2015-10-18,,No
577,36,Marketing,Marketing Director,132931,9,1,4,2,5,Life Sciences,Female,Single,3,12,4,5,5,3,2015-10-18,,No
578,41,Research,Research Analyst,77209,9,2,5,5,4,Life Sciences,Female,Divorced,5,9,3,3,2,9,2015-10-19,,No
579,23,Sales,Sales Director,113012,9,1,2,3,5,Other,Male,Divorced,0,11,6,4,0,9,2015-11-02,2021-10-03,Yes
580,44,Marketing,Marketing Director,105191,9,2,4,2,2,Marketing,Male,Married,6,13,0,5,5,9,2015-11-06,2023-11-23,Yes
581,37,Marketing,Marketing Director,108405,9,3,2,3,1,Marketing,Male,Single,5,18,4,9,9,9,2015-11-06,2017-01-06,Yes
582,31,Marketing,Marketing Manager,123283,9,5,2,2,4,Marketing,Female,Single,3,9,0,9,4,9,2015-11-13,2025-08-09,Yes
583,40,HR,HR Manager,85376,9,3,3,5,4,Other,Male,Married,6,12,3,9,1,5,2015-11-13,2020-12-09,Yes
584,53,Marketing,Marketing Director,141381,9,3,4,3,2,Marketing,Male,Married,2,14,2,6,6,8,2015-11-15,2017-05-12,Yes
585,36,Operations,Supply Chain Manager,117469,9,5,5,3,5,Life Sciences,Male,Single,0,12,2,9,4,7,2015-11-17,2019-06-07,Yes
586,36,Research,Research Scientist,101695,9,5,2,3,1,Life Sciences,Male,Single,3,15,6,9,6,9,2015-12-01,,No
587,31,Operations,Supply Chain Manager,92502,9,4,3,2,4,Technical Degree,Male,Married,2,15,4,9,8,7,2015-12-01,2018-07-27,Yes
588,28,Sales,Sales Manager,91993,9,4,4,4,1,Other,Female,Married,0,14,1,9,3,4,2015-12-08,,No
589,41,IT,Engineer,100383,9,3,4,5,4,Technical Degree,Male,Single,1,17,3,9,8,4,2015-12-08,,No
590,28,Finance,Accountant,52840,9,3,1,3,5,Life Sciences,Female,Single,10,10,4,9,0,9,2015-12-09,,No
591,35,IT,Engineer,82229,9,1,1,4,4,Technical Degree,Male,Divorced,4,18,4,9,9,8,2015-12-12,2025-01-10,Yes
592,31,IT,Engineer,68260,9,1,2,5,4,Other,Male,Married,7,16,2,9,5,6,2015-12-13,2019-04-28,Yes
593,38,Sales,Sales Manager,72802,9,4,1,5,3,Other,Male,Married,0,16,6,9,1,9,2015-12-19,,No
594,37,Engineering,Engineer,73155,9,4,2,3,5,Life Sciences,Female,Married,3,18,0,9,7,9,2015-12-20,,No
595,43,IT,Developer,98526,9,1,5,3,2,Other,Female,Single,3,12,3,6,4,7,2015-12-21,,No
596,30,Finance,Finance Manager,82816,9,1,2,2,2,Life Sciences,Female,Married,4,14,0,4,4,7,2015-12-21,2022-09-30,Yes
597,32,Research,Research Analyst,83539,9,2,1,4,5,Life Sciences,Male,Married,6,14,5,9,2,4,2015-12-22,2022-12-30,Yes
598,27,IT,Engineer,88384,9,2,5,4,2,Other,Male,Divorced,7,13,5,9,1,3,2015-12-28,2019-04-29,Yes
599,31,Marketing,Marketing Specialist,63207,9,1,1,3,5,Marketing,Female,Married,5,9,3,9,7,8,2016-01-07,,No
600,38,Sales,Account Executive,109800,9,2,2,5,2,Marketing,Female,Single,0,11,6,9,6,7,2016-01-08,,No
601,41,Operations,Operations Specialist,69418,9,5,3,3,3,Other,Male,Divorced,6,15,1,3,0,4,2016-01-13,,No
602,27,IT,Engineer,73031,9,4,4,5,2,Technical Degree,Female,Married,2,16,5,3,2,9,2016-01-18,,No
603,41,HR,HR Manager,103895,9,4,1,5,4,Life Sciences,Male,Divorced,5,10,2,9,3,4,2016-01-19,,No
604,45,Sales,Sales Director,120379,9,1,2,3,5,Other,Male,Divorced,7,11,1,9,1,1,2016-01-25,,No
605,38,Marketing,Marketing Specialist,92132,9,3,5,1,1,Marketing,Male,Single,6,12,4,9,9,9,2016-01-28,2018-11-21,Yes
606,50,IT,Engineer,97767,9,1,1,4,1,Technical Degree,Male,Married,9,13,5,9,9,7,2016-01-30,2023-02-10,Yes
607,28,Sales,Sales Director,85008,9,2,1,5,5,Other,Male,Married,5,11,2,9,1,1,2016-02-19,2023-05-13,Yes
608,25,IT,Technical Specialist,76012,9,3,4,5,3,Life Sciences,Male,Married,8,13,4,9,1,9,2016-02-22,,No
609,20,Sales,Sales Representative,46620,9,2,2,1,2,Other,Male,Married,8,16,1,4,4,9,2016-02-22,,No
610,46,IT,Technical Specialist,103716,9,5,3,2,3,Other,Male,Divorced,0,16,3,9,9,4,2016-02-22,,No
611,40,Engineering,Technical Director,102204,9,2,5,1,1,Technical Degree,Male,Married,0,10,4,9,9,9,2016-02-24,,No
612,34,HR,HR Director,141142,9,5,2,1,5,Life Sciences,Female,Single,0,14,0,8,5,3,2016-02-27,,No
613,37,HR,HR Manager,81640,9,5,5,5,5,Other,Male,Single,7,12,3,9,6,9,2016-02-27,,No
614,25,IT,Engineer,122914,9,2,1,4,3,Other,Male,Married,9,17,3,1,1,3,2016-02-28,2022-07-31,Yes
615,54,HR,HR Director,133381,9,2,4,1,3,Other,Male,Single,6,18,1,7,5,9,2016-03-13,,No
616,36,Research,Research Director,96467,9,5,4,2,2,Medical,Female,Married,2,10,1,9,1,1,2016-03-14,,No
617,35,Engineering,Technical Director,113301,9,3,3,3,4,Technical Degree,Male,Married,1,16,2,9,3,4,2016-03-15,,No
618,40,HR,HR Manager,74367,9,5,4,1,4,Human Resources,Male,Married,3,9,2,9,2,1,2016-03-26,,No
619,38,Finance,Controller,139817,9,4,1,1,2,Marketing,Male,Single,2,14,0,1,0,9,2016-03-28,2022-03-15,Yes
620,36,Sales,Sales Manager,95783,9,5,3,2,4,Life Sciences,Female,Married,6,18,3,9,9,9,2016-03-30,2021-08-16,Yes
621,28,Research,Research Scientist,107322,9,3,2,4,1,Life Sciences,Male,Single,9,9,6,7,3,8,2016-04-02,,No
622,38,Marketing,Marketing Manager,97433,9,4,4,1,4,Life Sciences,Male,Married,7,10,0,9,4,1,2016-04-02,2019-04-27,Yes
623,50,HR,HR Manager,115139,9,1,3,1,2,Other,Male,Married,5,11,0,3,0,9,2016-04-05,,No
624,45,Finance,Accountant,57061,9,1,1,4,4,Other,Male,Married,2,17,6,9,9,6,2016-04-12,2018-03-02,Yes
625,47,Operations,Operations Manager,99364,9,3,5,2,5,Technical Degree,Female,Married,5,13,6,6,1,7,2016-04-14,,No
626,30,IT,System Administrator,75096,9,5,5,1,3,Technical Degree,Female,Single,1,18,6,6,6,9,2016-04-16,2021-11-29,Yes
627,27,Operations,Operations Manager,109153,9,2,1,4,1,Life Sciences,Female,Married,6,18,1,9,2,9,2016-04-18,2019-09-02,Yes
628,33,HR,Recruiter,60675,9,3,1,1,5,Other,Female,Single,10,10,0,7,7,2,2016-04-25,2025-07-20,Yes
629,35,Sales,Sales Representative,57693,9,4,5,3,5,Marketing,Male,Married,9,18,0,9,9,4,2016-04-29,,No
630,43,IT,System Administrator,82785,9,4,3,5,2,Technical Degree,Male,Single,6,13,4,9,9,9,2016-04-29,2019-11-16,Yes
631,21,Marketing,Brand Manager,91465,9,1,5,3,3,Marketing,Female,Married,3,13,6,9,3,3,2016-04-30,,No
632,47,Finance,Finance Manager,117603,9,4,1,1,3,Marketing,Male,Divorced,7,9,6,8,2,9,2016-04-30,,No
633,33,Operations,Supply Chain Manager,113201,9,3,4,2,1,Other,Female,Married,3,11,2,8,8,9,2016-05-06,,No
